T,F1,RP1,C1,V1,A1,AP1
2013-06-07 15:07:46+05:30,50.06,-7.266,0.033,220.67,0.307,7.272
2013-06-07 15:07:47+05:30,50.07,-7.211,0.033,220.41,0.378,7.221
2013-06-07 15:07:48+05:30,50.08,-7.176,0.033,220.5,0.269,7.181
2013-06-07 15:07:49+05:30,50.08,-7.232,0.033,220.71,0.367,7.241
2013-06-07 15:07:50+05:30,50.08,-7.241,0.033,220.65,0.367,7.25
2013-06-07 15:07:51+05:30,50,-7.704,0.034,228.41,0.379,7.713
2013-06-07 15:07:52+05:30,50,-7.701,0.034,228.36,0.41,7.711
2013-06-07 15:07:53+05:30,50.01,-7.818,0.034,229.65,0.189,7.82
2013-06-07 15:07:54+05:30,50,-7.868,0.034,229.72,0.349,7.876
2013-06-07 15:07:55+05:30,50.02,-7.902,0.034,229.68,0.281,7.907
2013-06-07 15:07:56+05:30,50,-7.896,0.034,229.87,0.328,7.903
2013-06-07 15:07:57+05:30,50.01,-7.822,0.034,229.87,0.299,7.828
2013-06-07 15:07:58+05:30,50,-7.793,0.034,229.64,0.276,7.798
2013-06-07 15:07:59+05:30,50.01,-7.825,0.034,229.68,0.323,7.832
2013-06-07 15:08:00+05:30,50,-7.835,0.034,229.73,0.382,7.844
2013-06-07 15:08:01+05:30,50.01,-7.83,0.034,229.47,0.29,7.835
2013-06-07 15:08:02+05:30,50.01,-7.722,0.034,228.12,0.233,7.725
2013-06-07 15:08:03+05:30,49.99,-7.711,0.034,228.22,0.314,7.718
2013-06-07 15:08:04+05:30,49.99,-7.832,0.034,229.26,0.341,7.839
2013-06-07 15:08:05+05:30,50,-7.936,0.035,229.66,0.453,7.949
2013-06-07 15:08:06+05:30,50,-7.705,0.034,227.7,0.306,7.711
2013-06-07 15:08:07+05:30,49.98,-7.77,0.034,228.73,0.36,7.778
2013-06-07 15:08:08+05:30,50,-7.782,0.034,229.41,0.369,7.79
2013-06-07 15:08:09+05:30,49.99,-7.863,0.034,229.34,0.412,7.874
2013-06-07 15:08:10+05:30,50,-7.785,0.034,229.51,0.376,7.794
2013-06-07 15:08:11+05:30,49.99,-7.843,0.034,229.63,0.374,7.852
2013-06-07 15:08:12+05:30,50,-7.841,0.034,229.53,0.34,7.848
2013-06-07 15:08:13+05:30,50,-7.883,0.034,229.46,0.289,7.889
2013-06-07 15:08:14+05:30,49.99,-7.887,0.034,229.62,0.334,7.894
2013-06-07 15:08:15+05:30,49.98,-23.97,5.033,219.9,1106.409,1106.669
2013-06-07 15:08:16+05:30,50,-21.692,5.034,219.69,1105.755,1105.968
2013-06-07 15:08:17+05:30,49.99,-21.161,5.03,219.5,1103.779,1103.982
2013-06-07 15:08:18+05:30,49.99,-21.272,5.03,219.58,1104.361,1104.566
2013-06-07 15:08:19+05:30,49.98,-21.603,5.032,219.68,1105.261,1105.472
2013-06-07 15:08:20+05:30,49.99,-21.593,5.034,219.79,1106.189,1106.4
2013-06-07 15:08:21+05:30,49.98,-21.567,5.027,219.52,1103.257,1103.467
2013-06-07 15:08:22+05:30,49.97,-21.431,5.032,219.73,1105.389,1105.596
2013-06-07 15:08:23+05:30,49.98,-21.386,5.028,219.57,1103.819,1104.026
2013-06-07 15:08:24+05:30,49.98,-21.283,5.027,219.53,1103.279,1103.484
2013-06-07 15:08:25+05:30,50,-21.368,5.029,219.65,1104.387,1104.593
2013-06-07 15:08:26+05:30,49.98,-21.546,5.022,219.36,1101.321,1101.532
2013-06-07 15:08:27+05:30,49.98,-21.723,5.022,219.38,1101.447,1101.661
2013-06-07 15:08:28+05:30,49.99,-21.254,5.021,219.37,1101.195,1101.4
2013-06-07 15:08:29+05:30,49.97,-21.417,5.025,219.58,1103.222,1103.429
2013-06-07 15:08:30+05:30,49.96,-21.06,5.023,219.5,1102.376,1102.577
2013-06-07 15:08:31+05:30,49.97,-21.259,5.021,219.38,1101.248,1101.453
2013-06-07 15:08:32+05:30,49.97,-21.454,5.026,219.63,1103.617,1103.825
2013-06-07 15:08:33+05:30,49.98,-21.868,5.021,219.45,1101.693,1101.91
2013-06-07 15:08:34+05:30,49.98,-21.375,5.024,219.58,1102.874,1103.081
2013-06-07 15:08:35+05:30,49.98,-21.446,5.02,219.44,1101.441,1101.65
2013-06-07 15:08:36+05:30,50,-21.219,5.02,219.47,1101.503,1101.707
2013-06-07 15:08:37+05:30,49.98,-21.302,5.01,219.07,1097.386,1097.593
2013-06-07 15:08:38+05:30,49.98,-21.449,5.051,220.86,1115.313,1115.52
2013-06-07 15:08:39+05:30,49.98,-21.705,5.055,221.11,1117.559,1117.769
2013-06-07 15:08:40+05:30,49.96,-21.79,5.048,220.84,1114.609,1114.822
2013-06-07 15:08:41+05:30,50,-21.653,5.052,221.05,1116.62,1116.83
2013-06-07 15:08:42+05:30,49.98,-21.681,5.056,221.21,1118.124,1117.335
2013-06-07 15:08:43+05:30,49.98,-21.614,5.049,220.94,1115.397,1117.128
2013-06-07 15:08:44+05:30,49.99,-21.733,5.056,221.29,1118.663,1118.878
2013-06-07 15:08:45+05:30,50,-21.635,5.055,221.34,1119.108,1118.611
2013-06-07 15:08:46+05:30,49.98,-21.433,5.052,221.03,1115.732,1117.121
2013-06-07 15:08:47+05:30,49.97,-21.824,5.047,221.04,1115.716,1115.377
2013-06-07 15:08:48+05:30,49.99,-21.603,5.052,221.13,1117.138,1117.347
2013-06-07 15:08:49+05:30,49.99,-20.845,4.935,221.26,1066.296,1066.499
2013-06-07 15:08:50+05:30,49.99,-21.731,5.034,220.48,1109.763,1109.976
2013-06-07 15:08:51+05:30,49.99,-21.681,5.05,221.19,1116.82,1117.031
2013-06-07 15:08:52+05:30,49.98,-21.927,5.072,222.2,1126.888,1127.102
2013-06-07 15:08:53+05:30,50,-21.893,5.08,222.54,1130.359,1130.571
2013-06-07 15:08:54+05:30,50.02,-21.896,5.076,222.4,1128.623,1128.836
2013-06-07 15:08:55+05:30,50.01,-22.23,5.08,222.62,1130.635,1130.854
2013-06-07 15:08:56+05:30,50,-21.736,5.075,222.47,1128.923,1129.132
2013-06-07 15:08:57+05:30,50,-21.875,5.076,222.53,1129.441,1129.652
2013-06-07 15:08:58+05:30,50.01,-8.041,0.035,232.3,0.384,8.051
2013-06-07 15:08:59+05:30,50.02,-7.958,0.034,232.16,0.442,7.971
2013-06-07 15:09:00+05:30,50,-7.975,0.034,232.15,0.304,7.981
2013-06-07 15:09:01+05:30,50.01,-8.031,0.035,232.37,0.433,8.042
2013-06-07 15:09:02+05:30,50.01,-8.049,0.035,232.29,0.437,8.061
2013-06-07 15:09:03+05:30,50.01,-8.017,0.035,232.17,0.347,8.025
2013-06-07 15:09:04+05:30,50.01,-7.997,0.034,232.16,0.323,8.003
2013-06-07 15:09:33+05:30,50.01,-8.031,0.035,232.37,0.433,8.042
2013-06-07 15:09:34+05:30,50.01,-8.049,0.035,232.29,0.437,8.061
2013-06-07 15:09:35+05:30,50.01,-8.017,0.035,232.17,0.347,8.025
2013-06-07 15:09:36+05:30,50.01,-7.997,0.034,232.16,0.323,8.003
2013-06-07 15:09:37+05:30,50.02,-8.024,0.035,232.14,0.414,8.035
2013-06-07 15:09:38+05:30,50.02,-7.978,0.034,232.17,0.472,7.992
2013-06-07 15:09:39+05:30,50,-7.941,0.034,232.15,0.338,7.949
2013-06-07 15:09:40+05:30,50.05,-8.047,0.035,231.47,0.322,8.054
2013-06-07 15:09:41+05:30,50.03,-7.95,0.034,231.49,0.354,7.958
2013-06-07 15:09:42+05:30,50.03,-7.92,0.034,231.24,0.365,7.928
2013-06-07 15:09:43+05:30,50.02,-7.978,0.035,231.16,0.435,7.99
2013-06-07 15:09:44+05:30,50.05,-7.949,0.034,231.08,0.316,7.955
2013-06-07 15:09:45+05:30,50.02,-7.911,0.034,231.03,0.405,7.921
2013-06-07 15:09:46+05:30,50.05,-7.942,0.034,230.91,0.346,7.949
2013-06-07 15:09:47+05:30,50.05,-7.86,0.034,230.74,0.36,7.868
2013-06-07 15:09:48+05:30,50.04,-7.899,0.034,230.95,0.371,7.908
2013-06-07 15:09:49+05:30,50.05,-7.858,0.034,230.89,0.261,7.862
2013-06-07 15:09:50+05:30,50.03,-7.983,0.035,230.87,0.345,7.99
2013-06-07 15:09:51+05:30,50.05,-7.909,0.034,230.88,0.325,7.916
2013-06-07 15:09:52+05:30,50.05,-7.869,0.034,230.94,0.302,7.875
2013-06-07 15:09:53+05:30,50.04,-7.85,0.034,231.04,0.327,7.857
2013-06-07 15:09:54+05:30,50.01,-8.093,0.035,231.01,0.374,8.101
2013-06-07 15:09:55+05:30,50.03,-7.944,0.034,230.97,0.341,7.951
2013-06-07 15:09:56+05:30,50.04,-7.994,0.035,231.2,0.356,8.002
2013-06-07 15:10:26+05:30,50.04,-7.85,0.034,231.04,0.327,7.857
2013-06-07 15:10:27+05:30,50.01,-8.093,0.035,231.01,0.374,8.101
2013-06-07 15:10:28+05:30,50.03,-7.944,0.034,230.97,0.341,7.951
2013-06-07 15:10:29+05:30,50.04,-7.994,0.035,231.2,0.356,8.002
2013-06-07 15:10:30+05:30,50.03,-7.946,0.034,231.03,0.335,7.953
2013-06-07 15:10:31+05:30,50.05,-7.883,0.034,230.92,0.452,7.896
2013-06-07 15:10:32+05:30,50.05,-489.314,4.459,223.67,869.074,997.355
2013-06-07 15:10:33+05:30,50.07,-8.037,0.035,232.51,0.399,8.047
2013-06-07 15:10:34+05:30,50.04,-8.103,0.035,231.95,0.392,8.113
2013-06-07 15:10:35+05:30,50.07,-8.059,0.035,231.81,0.337,8.066
2013-06-07 15:10:36+05:30,50.07,-8.075,0.035,231.94,0.308,8.081
2013-06-07 15:10:37+05:30,50.09,-7.942,0.034,231.86,0.34,7.95
2013-06-07 15:10:38+05:30,50.08,-8.018,0.035,231.81,0.284,8.023
2013-06-07 15:10:39+05:30,50.06,-7.986,0.034,232,0.422,7.997
2013-06-07 15:10:40+05:30,50.08,-8.029,0.035,232.15,0.317,8.035
2013-06-07 15:10:41+05:30,50.06,-8.092,0.035,232.22,0.382,8.101
2013-06-07 15:10:42+05:30,50.08,-8.121,0.035,232.35,0.318,8.127
2013-06-07 15:10:43+05:30,50.08,-8.051,0.035,232.12,0.258,8.055
2013-06-07 15:10:44+05:30,50.06,-8.024,0.035,232.04,0.331,8.031
2013-06-07 15:10:45+05:30,50.08,-8.049,0.035,232.09,0.282,8.054
2013-06-07 15:10:46+05:30,50.07,-8.072,0.035,232.41,0.245,8.076
2013-06-07 15:10:47+05:30,50.08,-7.943,0.034,232.2,0.329,7.95
2013-06-07 15:10:48+05:30,50.07,-8.049,0.035,232.13,0.324,8.055
2013-06-07 15:10:49+05:30,50.07,-7.998,0.035,231.92,0.338,8.005
2013-06-07 15:10:50+05:30,50.07,-7.993,0.034,232.06,0.322,7.999
2013-06-07 15:10:51+05:30,50.08,-7.977,0.034,231.94,0.349,7.985
2013-06-07 15:10:52+05:30,50.06,-8.154,0.035,232.15,0.362,8.162
2013-06-07 15:10:53+05:30,50.07,-8.142,0.035,232.22,0.454,8.154
2013-06-07 15:10:54+05:30,50.08,-7.97,0.034,232.33,0.519,7.987
2013-06-07 15:10:55+05:30,50.09,-8.022,0.035,231.97,0.315,8.029
2013-06-07 15:10:56+05:30,50.07,-8.109,0.035,232.15,0.419,8.12
2013-06-07 15:10:57+05:30,50.07,-8.037,0.035,232.16,0.37,8.046
2013-06-07 15:11:26+05:30,50.08,-7.97,0.034,232.33,0.519,7.987
2013-06-07 15:11:27+05:30,50.09,-8.022,0.035,231.97,0.315,8.029
2013-06-07 15:11:28+05:30,50.07,-8.109,0.035,232.15,0.419,8.12
2013-06-07 15:11:29+05:30,50.07,-8.037,0.035,232.16,0.37,8.046
2013-06-07 15:11:30+05:30,50.07,-8.053,0.035,232.02,0.389,8.062
2013-06-07 15:11:31+05:30,50.07,-7.993,0.034,232.04,0.316,7.999
2013-06-07 15:11:32+05:30,50.06,-7.902,0.034,231.92,0.318,7.908
2013-06-07 15:11:33+05:30,50.07,-7.981,0.034,231.82,0.41,7.991
2013-06-07 15:11:34+05:30,50.08,-8.042,0.035,231.84,0.247,8.045
2013-06-07 15:11:35+05:30,50.08,-8.028,0.035,232.11,0.302,8.033
2013-06-07 15:11:36+05:30,50.07,-7.966,0.034,232.22,0.323,7.972
2013-06-07 15:11:37+05:30,50.07,-8.055,0.035,232.05,0.354,8.063
2013-06-07 15:11:38+05:30,50.08,-7.995,0.034,232.16,0.356,8.003
2013-06-07 15:11:39+05:30,50.07,-8.009,0.035,231.96,0.368,7.972
2013-06-07 15:11:40+05:30,50.08,-7.977,0.035,231.64,0.348,7.985
2013-06-07 15:11:41+05:30,50.07,-8.027,0.034,231.88,0.315,8.041
2013-06-07 15:11:42+05:30,50.08,-8.097,0.035,231.85,0.406,8.103
2013-06-07 15:11:43+05:30,50.09,-7.959,0.034,231.93,0.35,7.969
2013-06-07 15:11:44+05:30,50.08,-7.894,0.034,231.56,0.353,7.902
2013-06-07 15:11:45+05:30,50.07,-7.951,0.034,231.79,0.435,7.963
2013-06-07 15:11:46+05:30,50.08,-7.915,0.034,231.87,0.385,7.924
2013-06-07 15:11:47+05:30,50.06,-85.058,5.074,222.32,1124.872,1128.083
2013-06-07 15:11:48+05:30,50.08,-22.346,5.077,222.14,1127.623,1127.844
2013-06-07 15:11:49+05:30,50.07,-21.857,5.066,221.97,1124.317,1124.53
2013-06-07 15:11:50+05:30,50.08,-21.808,5.071,222.33,1127.179,1127.39
2013-06-07 15:11:51+05:30,50.1,-22.245,5.069,222.38,1126.948,1127.168
2013-06-07 15:11:52+05:30,50.08,-21.911,5.065,222.36,1125.991,1126.205
2013-06-07 15:11:53+05:30,50.07,-21.663,5.065,222.44,1126.456,1126.664
2013-06-07 15:11:54+05:30,50.07,-22.263,5.065,222.52,1126.817,1127.036
2013-06-07 15:11:55+05:30,50.07,-21.988,5.084,223.44,1135.837,1136.05
2013-06-07 15:11:56+05:30,50.1,-22.324,5.086,223.54,1136.724,1136.943
2013-06-07 15:11:57+05:30,50.09,-22.26,5.08,223.37,1134.439,1134.657
2013-06-07 15:11:58+05:30,50.08,-72.033,0.31,232.62,4.585,72.179
2013-06-07 15:11:59+05:30,50.1,-7.993,0.034,232.05,0.314,7.999
2013-06-07 15:12:00+05:30,50.08,-8.008,0.035,232.3,0.408,8.018
2013-06-07 15:12:01+05:30,50.1,-8.043,0.035,232.22,0.283,8.048
2013-06-07 15:12:02+05:30,50.09,-8.008,0.035,232.19,0.334,8.015
2013-06-07 15:12:03+05:30,50.08,-7.968,0.034,232.33,0.359,7.977
2013-06-07 15:12:04+05:30,50.08,-8.046,0.035,232.36,0.333,8.053
2013-06-07 15:12:05+05:30,50.1,-8.012,0.035,232.32,0.346,8.019
