T,F1,RP1,C1,V1,A1,AP1
2013-06-10 07:02:00+05:30,49.99,-29.054,0.758,189.08,140.439,143.413
2013-06-10 07:02:01+05:30,50.01,-29.332,0.781,189.24,144.859,147.799
2013-06-10 07:02:02+05:30,49.99,-29.215,0.792,189.02,146.755,149.634
2013-06-10 07:02:03+05:30,50,-29.237,0.782,189.21,145.091,148.007
2013-06-10 07:02:04+05:30,49.99,-29.457,0.786,189.09,145.709,148.657
2013-06-10 07:02:06+05:30,50.16,-31.438,0.878,233.1,202.306,204.734
2013-06-10 07:02:07+05:30,50.18,-31.11,0.884,232.98,203.658,206.02
2013-06-10 07:02:08+05:30,50.17,-98.502,0.533,234.09,76.634,124.801
2013-06-10 07:02:09+05:30,50.16,2.519,0.014,234.78,2.138,3.304
2013-06-10 07:02:10+05:30,50.18,2.497,0.014,234.68,2.203,3.329
2013-06-10 07:02:11+05:30,50.16,-32.932,0.966,232.83,222.423,224.847
2013-06-10 07:02:12+05:30,50.19,-32.416,0.961,232.88,221.376,223.737
2013-06-10 07:02:13+05:30,50.16,-31.841,0.947,232.91,218.181,220.492
2013-06-10 07:02:14+05:30,50.16,-31.621,0.932,232.84,214.771,217.086
2013-06-10 07:02:15+05:30,50.15,-103.243,0.59,234.07,91.782,138.141
2013-06-10 07:02:16+05:30,50.16,2.476,0.014,234.63,2.017,3.194
2013-06-10 07:02:17+05:30,50.16,-140.307,0.792,233.81,120.704,185.082
2013-06-10 07:02:18+05:30,50.16,-30.426,0.867,233.28,199.975,202.277
2013-06-10 07:02:19+05:30,50.17,-30.642,0.872,233.23,201.091,203.412
2013-06-10 07:02:20+05:30,50.18,-29.572,0.853,233.38,196.839,199.048
2013-06-10 07:02:21+05:30,50.16,-29.942,0.845,233.23,194.881,199.249
2013-06-10 07:02:22+05:30,50.17,-105.155,0.846,233.28,195.079,125.413
2013-06-10 07:02:23+05:30,50.17,2.489,0.014,234.84,2.173,3.304
2013-06-10 07:02:24+05:30,50.15,60.225,0.262,234.75,2.036,61.445
2013-06-10 07:02:25+05:30,50.13,-34.412,0.947,233.53,177.959,221.137
2013-06-10 07:02:26+05:30,50.16,-32.834,0.971,233.3,225.997,226.328
2013-06-10 07:02:27+05:30,50.15,-31.622,0.949,233.16,219.107,221.377
2013-06-10 07:02:28+05:30,50.16,-31.03,0.933,233.22,215.264,217.489
2013-06-10 07:02:29+05:30,50.14,-29.902,0.91,233.12,209.961,212.08
2013-06-10 07:02:30+05:30,50.14,-46.117,0.204,234.63,12.754,47.849
2013-06-10 07:02:31+05:30,50.17,2.412,0.013,234.64,2.051,3.166
2013-06-10 07:02:32+05:30,50.17,-98.736,0.954,233.21,199.372,222.481
2013-06-10 07:02:33+05:30,50.17,-31.584,0.897,233.15,206.662,209.061
2013-06-10 07:02:34+05:30,50.15,-30.489,0.872,233.19,200.95,203.25
2013-06-10 07:02:35+05:30,50.16,-30.224,0.871,233.28,200.998,203.257
2013-06-10 07:02:36+05:30,50.16,-30.11,0.871,233.35,200.971,203.214
2013-06-10 07:02:37+05:30,50.18,-28.907,0.849,233.26,196.011,198.131
2013-06-10 07:02:38+05:30,50.16,2.516,0.014,234.72,2.181,3.33
2013-06-10 07:02:43+05:30,50.18,2.464,0.014,234.73,2.119,3.25
2013-06-10 07:02:44+05:30,50.18,-34.039,0.987,233.1,227.587,230.118
2013-06-10 07:02:45+05:30,50.16,-33.757,1,232.97,230.51,232.968
2013-06-10 07:02:46+05:30,50.17,-32.485,0.975,233.2,225.035,227.367
2013-06-10 07:02:51+05:30,50.17,-31.837,0.948,233.07,218.585,220.891
2013-06-10 07:02:52+05:30,50.16,-31.164,0.937,233.09,216.06,218.296
2013-06-10 07:02:53+05:30,50.18,-30.955,0.936,233.18,216.118,218.324
2013-06-10 07:02:54+05:30,50.19,-30.193,0.913,233.07,210.575,212.729
2013-06-10 07:02:55+05:30,50.18,-101.433,0.749,233.73,142.741,175.11
2013-06-10 07:02:56+05:30,50.18,2.546,0.014,234.75,2.147,3.33
2013-06-10 07:02:57+05:30,50.16,-139.761,0.795,233.91,122.638,185.938
2013-06-10 07:02:58+05:30,50.18,-32.415,0.91,233.36,209.806,212.295
2013-06-10 07:02:59+05:30,50.18,-32.116,0.872,232.95,200.633,203.187
2013-06-10 07:03:00+05:30,50.18,-29.838,0.856,233.22,197.402,199.644
2013-06-10 07:03:01+05:30,50.2,-32.233,0.88,233.16,202.553,205.102
2013-06-10 07:03:02+05:30,50.21,24.589,0.107,234.71,5.321,25.158
2013-06-10 07:03:03+05:30,50.19,2.496,0.014,234.65,2.121,3.275
2013-06-10 07:03:04+05:30,50.18,2.444,0.014,234.84,2.144,3.251
2013-06-10 07:03:05+05:30,50.2,-33.31,0.978,232.83,225.254,227.704
2013-06-10 07:03:06+05:30,50.2,-33.602,0.98,232.74,225.625,228.113
2013-06-10 07:03:07+05:30,50.19,-32.695,0.964,232.92,222.043,224.437
2013-06-10 07:03:08+05:30,50.19,-31.965,0.944,232.78,217.319,219.657
2013-06-10 07:03:09+05:30,50.21,-31.476,0.931,232.92,214.527,216.824
2013-06-10 07:03:10+05:30,50.19,-33.305,0.962,232.75,221.477,223.967
2013-06-10 07:03:11+05:30,50.19,-31.384,0.932,232.82,214.71,216.991
2013-06-10 07:03:12+05:30,50.19,-31.903,0.934,232.87,215.031,217.385
2013-06-10 07:03:13+05:30,50.19,-30.363,0.915,232.86,210.914,213.088
2013-06-10 07:03:14+05:30,50.19,-29.904,0.908,232.92,209.401,211.525
